date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
06/01/2020 04:30,1.30854,1.30832,1.30863,1.30825,1.30868,1.30848,1.3088,1.30841,548
06/01/2020 04:45,1.30832,1.30834,1.30834,1.30803,1.30848,1.30852,1.30852,1.3082,441
06/01/2020 05:00,1.30834,1.30828,1.30853,1.30815,1.30852,1.30843,1.3087,1.30831,578
06/01/2020 05:15,1.30828,1.30823,1.30829,1.30812,1.30843,1.30839,1.30845,1.30829,440
06/01/2020 05:30,1.30823,1.30817,1.30851,1.30814,1.30839,1.30831,1.30867,1.30827,747
06/01/2020 05:45,1.30817,1.30804,1.30828,1.30792,1.30831,1.3082,1.30843,1.30809,608
06/01/2020 06:00,1.30804,1.30726,1.30811,1.30714,1.3082,1.30739,1.30827,1.30726,1338
06/01/2020 06:15,1.30726,1.30779,1.30781,1.30681,1.30739,1.30792,1.30796,1.30694,1496
06/01/2020 06:30,1.30779,1.30763,1.30789,1.30733,1.30792,1.30775,1.30802,1.30745,1892
06/01/2020 06:45,1.30763,1.3082,1.30827,1.30759,1.30775,1.30838,1.30843,1.30775,2490
06/01/2020 07:00,1.3082,1.30816,1.30868,1.30784,1.30838,1.3083,1.30883,1.30799,3443
06/01/2020 07:15,1.30816,1.30891,1.30942,1.30767,1.3083,1.30906,1.30954,1.3078,4859
06/01/2020 07:30,1.30891,1.30825,1.309,1.30785,1.30906,1.30839,1.30914,1.30802,4089
06/01/2020 07:45,1.30825,1.30726,1.30852,1.30694,1.30839,1.3074,1.30865,1.30707,4571
06/01/2020 08:00,1.30726,1.30664,1.30827,1.30654,1.3074,1.30681,1.30841,1.30668,7083
06/01/2020 08:15,1.30664,1.30741,1.30764,1.30634,1.30681,1.30756,1.30779,1.3065,4510
06/01/2020 08:30,1.30741,1.30807,1.30829,1.30698,1.30756,1.30823,1.3084,1.30714,4120
06/01/2020 08:45,1.30807,1.31053,1.3108,1.30795,1.30823,1.31065,1.31094,1.30809,6024
06/01/2020 09:00,1.31053,1.31206,1.31206,1.31025,1.31065,1.31219,1.3122,1.31038,6905
06/01/2020 09:15,1.31206,1.31238,1.31264,1.31137,1.31219,1.31253,1.31281,1.31155,4749
06/01/2020 09:30,1.31238,1.31435,1.31456,1.31129,1.31253,1.3145,1.31467,1.31144,9764
06/01/2020 09:45,1.31435,1.31425,1.3148,1.31341,1.3145,1.3144,1.31493,1.31356,5995
06/01/2020 10:00,1.31425,1.31547,1.31555,1.31372,1.3144,1.3156,1.31569,1.31385,5241
06/01/2020 10:15,1.31547,1.31585,1.3166,1.31485,1.3156,1.316,1.31676,1.31501,8140
06/01/2020 10:30,1.31585,1.31637,1.31728,1.31524,1.316,1.31648,1.31744,1.31538,6228
06/01/2020 10:45,1.31637,1.31518,1.31679,1.31509,1.31648,1.31532,1.31695,1.31523,3959
06/01/2020 11:00,1.31518,1.3159,1.31724,1.31514,1.31532,1.31605,1.3174,1.31524,4622
06/01/2020 11:15,1.3159,1.31644,1.31648,1.31545,1.31605,1.3166,1.31663,1.31558,4619
06/01/2020 11:30,1.31644,1.31559,1.31739,1.31539,1.3166,1.31568,1.31752,1.31554,4092
06/01/2020 11:45,1.31559,1.31561,1.31594,1.31504,1.31568,1.31577,1.31607,1.31517,2715
06/01/2020 12:00,1.31561,1.31522,1.31561,1.31439,1.31577,1.31534,1.31575,1.31455,3698
06/01/2020 12:15,1.31522,1.31457,1.31563,1.31435,1.31534,1.31473,1.31578,1.3145,3082
06/01/2020 12:30,1.31457,1.31488,1.315,1.31429,1.31473,1.31501,1.31515,1.31443,2538
06/01/2020 12:45,1.31488,1.31379,1.31552,1.31379,1.31501,1.31393,1.31566,1.31392,2727
06/01/2020 13:00,1.31379,1.31349,1.31469,1.31339,1.31393,1.31365,1.3148,1.31354,3277
06/01/2020 13:15,1.31349,1.31405,1.31429,1.3134,1.31365,1.31419,1.31444,1.31354,2989
06/01/2020 13:30,1.31405,1.31435,1.31485,1.31359,1.31419,1.3145,1.31497,1.3137,3069
06/01/2020 13:45,1.31435,1.31399,1.31436,1.3137,1.3145,1.31415,1.31451,1.31383,2534
06/01/2020 14:00,1.31399,1.3142,1.31421,1.31326,1.31415,1.31435,1.31437,1.3134,2930
06/01/2020 14:15,1.3142,1.3147,1.31481,1.31388,1.31435,1.31486,1.31498,1.314,2988
06/01/2020 14:30,1.3147,1.31464,1.31605,1.31444,1.31486,1.3148,1.31621,1.31457,4635
06/01/2020 14:45,1.31464,1.3136,1.31481,1.3135,1.3148,1.31376,1.31494,1.31361,3995
06/01/2020 15:00,1.3136,1.31448,1.31465,1.31329,1.31376,1.3146,1.31478,1.31345,3591
06/01/2020 15:15,1.31448,1.315,1.31537,1.31419,1.3146,1.31514,1.3155,1.31431,3436
06/01/2020 15:30,1.315,1.31481,1.3157,1.3145,1.31514,1.31495,1.31586,1.31462,4355
06/01/2020 15:45,1.31481,1.31582,1.3162,1.31478,1.31495,1.31594,1.31632,1.31491,4500
06/01/2020 16:00,1.31582,1.31553,1.31609,1.31513,1.31594,1.31562,1.31621,1.31526,2925
06/01/2020 16:15,1.31553,1.31634,1.31692,1.31549,1.31562,1.31646,1.31706,1.31561,3409
06/01/2020 16:30,1.31634,1.31625,1.31669,1.31611,1.31646,1.3164,1.31684,1.31621,3317
06/01/2020 16:45,1.31625,1.31618,1.31634,1.3156,1.3164,1.31632,1.31646,1.31574,2240
06/01/2020 17:00,1.31618,1.31675,1.31716,1.31568,1.31632,1.31693,1.31728,1.3158,3040
06/01/2020 17:15,1.31675,1.31669,1.31738,1.31658,1.31693,1.31685,1.31754,1.31672,2642
06/01/2020 17:30,1.31669,1.31608,1.31678,1.31598,1.31685,1.31622,1.31691,1.31614,1786
