,date,bidopen,bidclose,bidhigh,bidlow,askopen,askclose,askhigh,asklow,tickqty
68,02/01/2020 23:45,1.31441,1.31466,1.31477,1.3142200000000002,1.3145799999999999,1.31479,1.31494,1.31437,1535
69,03/01/2020 00:00,1.31466,1.31471,1.31487,1.3139299999999998,1.31479,1.31482,1.31502,1.3141,1844
70,03/01/2020 00:15,1.31471,1.31487,1.3149600000000001,1.31466,1.31482,1.315,1.31513,1.3148,1468
71,03/01/2020 00:30,1.31487,1.31502,1.3150899999999999,1.31484,1.315,1.31516,1.31523,1.3149600000000001,1185
72,03/01/2020 00:45,1.31502,1.3154299999999999,1.31566,1.3149899999999999,1.31516,1.31561,1.3158,1.31515,1183
73,03/01/2020 01:00,1.3154299999999999,1.31546,1.31575,1.3154,1.31561,1.31562,1.31589,1.3155700000000001,849
74,03/01/2020 01:15,1.31546,1.3150899999999999,1.31596,1.31489,1.31562,1.31524,1.3161100000000001,1.3150600000000001,1634
75,03/01/2020 01:30,1.3150899999999999,1.3145,1.31514,1.31444,1.31524,1.31464,1.31531,1.3146,1957
76,03/01/2020 01:45,1.3145,1.31379,1.31504,1.31339,1.31464,1.3139299999999998,1.3152,1.31356,3334
77,03/01/2020 02:00,1.31379,1.31365,1.31392,1.31359,1.3139299999999998,1.3138100000000001,1.3141,1.31376,1608
78,03/01/2020 02:15,1.31365,1.31395,1.31419,1.31359,1.3138100000000001,1.3141,1.3143200000000002,1.3137299999999998,2747
79,03/01/2020 02:30,1.31395,1.31395,1.3143,1.31386,1.3141,1.31407,1.3144799999999999,1.3140100000000001,2647
80,03/01/2020 02:45,1.31395,1.31274,1.31431,1.3122,1.31407,1.31289,1.31445,1.3123799999999999,4236
81,03/01/2020 03:00,1.31274,1.31322,1.31335,1.31265,1.31289,1.31336,1.31346,1.31281,2763
82,03/01/2020 03:15,1.31322,1.31289,1.3132700000000002,1.31264,1.31336,1.31308,1.3134,1.31279,3868
83,03/01/2020 03:30,1.31289,1.3131899999999999,1.3131899999999999,1.31284,1.31308,1.3133299999999999,1.3133299999999999,1.31303,1751
84,03/01/2020 03:45,1.3131899999999999,1.31355,1.31372,1.31304,1.3133299999999999,1.31371,1.3139,1.3132,2455
85,03/01/2020 04:00,1.31355,1.31351,1.31364,1.31324,1.31371,1.31369,1.3138299999999998,1.3133700000000001,1969
86,03/01/2020 04:15,1.31351,1.31362,1.31366,1.31342,1.31369,1.31379,1.3138299999999998,1.31359,778
